Name;License;Url
Google's Android Support Library;Apache Version 2.0;https://developer.android.com/topic/libraries/support-library/index.html
Jake Wharton's Timber;Apache Version 2.0;https://github.com/JakeWharton/timber
Jake Wharton's ButterKnife;Apache Version 2.0;https://github.com/JakeWharton/butterknife
Gustavo Pagani's SectionedRecyclerViewAdapter;Apache Version 2.0;https://github.com/luizgrp/SectionedRecyclerViewAdapter
